row,col,R,G,B,R_norm,G_norm,B_norm,brightness
3,36,255,255,255,1.0,1.0,1.0,light
3,37,255,255,255,1.0,1.0,1.0,light
3,38,255,255,255,1.0,1.0,1.0,light
3,39,255,255,255,1.0,1.0,1.0,light
3,40,255,255,255,1.0,1.0,1.0,light
3,41,255,255,255,1.0,1.0,1.0,light
3,42,255,255,255,1.0,1.0,1.0,light
3,43,255,255,255,1.0,1.0,1.0,light
3,44,255,255,255,1.0,1.0,1.0,light
3,45,255,255,255,1.0,1.0,1.0,light
3,46,255,255,255,1.0,1.0,1.0,light
3,47,255,255,255,1.0,1.0,1.0,light
3,48,255,255,255,1.0,1.0,1.0,light
3,49,255,255,255,1.0,1.0,1.0,light
3,50,255,255,255,1.0,1.0,1.0,light
3,51,255,255,255,1.0,1.0,1.0,light
3,52,255,255,255,1.0,1.0,1.0,light
3,53,255,255,255,1.0,1.0,1.0,light
3,54,255,255,255,1.0,1.0,1.0,light
3,55,255,255,255,1.0,1.0,1.0,light
3,56,255,255,255,1.0,1.0,1.0,light
3,57,255,255,255,1.0,1.0,1.0,light
3,58,255,255,255,1.0,1.0,1.0,light
3,59,255,255,255,1.0,1.0,1.0,light
3,60,255,255,255,1.0,1.0,1.0,light
3,61,255,255,255,1.0,1.0,1.0,light
3,62,255,255,255,1.0,1.0,1.0,light
3,63,255,255,255,1.0,1.0,1.0,light
3,64,255,255,255,1.0,1.0,1.0,light
3,65,255,255,255,1.0,1.0,1.0,light
3,66,255,255,255,1.0,1.0,1.0,light
3,67,255,255,255,1.0,1.0,1.0,light
3,68,255,255,255,1.0,1.0,1.0,light
3,69,255,255,255,1.0,1.0,1.0,light
3,70,255,255,255,1.0,1.0,1.0,light
3,71,255,255,255,1.0,1.0,1.0,light
3,72,255,255,255,1.0,1.0,1.0,light
3,73,255,255,255,1.0,1.0,1.0,light
3,74,255,255,255,1.0,1.0,1.0,light
3,75,255,255,255,1.0,1.0,1.0,light
3,76,255,255,255,1.0,1.0,1.0,light
3,77,255,255,255,1.0,1.0,1.0,light
3,78,255,255,255,1.0,1.0,1.0,light
3,79,255,255,255,1.0,1.0,1.0,light
3,80,255,255,255,1.0,1.0,1.0,light
3,81,255,255,255,1.0,1.0,1.0,light
3,82,255,255,255,1.0,1.0,1.0,light
3,83,255,255,255,1.0,1.0,1.0,light
3,84,255,255,255,1.0,1.0,1.0,light
3,85,255,255,255,1.0,1.0,1.0,light
3,86,255,255,255,1.0,1.0,1.0,light
3,87,255,255,255,1.0,1.0,1.0,light
3,88,255,255,255,1.0,1.0,1.0,light
3,89,255,255,255,1.0,1.0,1.0,light
3,90,255,255,255,1.0,1.0,1.0,light
3,91,255,255,255,1.0,1.0,1.0,light
3,92,255,255,255,1.0,1.0,1.0,light
3,93,255,255,255,1.0,1.0,1.0,light
3,94,255,255,255,1.0,1.0,1.0,light
3,95,255,255,255,1.0,1.0,1.0,light
3,96,255,255,255,1.0,1.0,1.0,light
3,97,255,255,255,1.0,1.0,1.0,light
3,98,255,255,255,1.0,1.0,1.0,light
3,99,255,255,255,1.0,1.0,1.0,light
3,100,255,255,255,1.0,1.0,1.0,light
3,101,255,255,255,1.0,1.0,1.0,light
3,102,255,255,255,1.0,1.0,1.0,light
3,103,255,255,255,1.0,1.0,1.0,light
3,104,255,255,255,1.0,1.0,1.0,light
3,105,255,255,255,1.0,1.0,1.0,light
3,106,255,255,255,1.0,1.0,1.0,light
3,107,255,255,255,1.0,1.0,1.0,light
3,108,255,255,255,1.0,1.0,1.0,light
3,109,255,255,255,1.0,1.0,1.0,light
3,110,255,255,255,1.0,1.0,1.0,light
3,111,255,255,255,1.0,1.0,1.0,light
