row,col,R,G,B,R_norm,G_norm,B_norm,brightness,R_minmax,G_minmax,B_minmax
1,90,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,91,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,92,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,93,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,94,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,95,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,96,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,97,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,98,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,99,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,100,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,101,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,102,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,103,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,104,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,105,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,106,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,107,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,108,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,109,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,110,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,111,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,112,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,113,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,114,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,115,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,116,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,117,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,118,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,119,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,120,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,121,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,122,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,123,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,124,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,125,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,126,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,127,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,0,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,1,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,2,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,3,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,4,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,5,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,6,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,7,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,8,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,9,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,10,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,11,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,12,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,13,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,14,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,15,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,16,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,17,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,18,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,19,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,20,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,21,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,22,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,23,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,24,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,25,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,26,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,27,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,28,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,29,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,30,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,31,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,32,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,33,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,34,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,35,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,36,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,37,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,38,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,39,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,40,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,41,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,42,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,43,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,44,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,45,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,46,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,47,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,48,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,49,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,50,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
2,51,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
